groups,beta,chi,exploration,initial,local_eigenvalue,max_share,hhi,residual_inf
4,8,0.5,0,concentrated,0.0,0.9237834942713872,0.8553122628700804,3.3306690738754696e-15
4,12,0.5,0,near_uniform,0.5,0.9921435762471584,0.984369450353229,2.220446049250313e-15
4,12,0.5,0,concentrated,0.5,0.9921435762471584,0.984369450353229,2.220446049250313e-15
4,20,0.5,0,near_uniform,1.5,0.9998635708457235,0.9997271665086659,5.329070518200751e-15
4,20,0.5,0,concentrated,1.5,0.9998635708457235,0.9997271665086659,5.329070518200751e-15
4,1,0.5,0.1,near_uniform,-0.8875,0.25000000000000205,0.25,1.7763568394002505e-15
4,1,0.5,0.1,concentrated,-0.8875,0.25000000000000205,0.25,1.7763568394002505e-15
4,2,0.5,0.1,near_uniform,-0.775,0.25000000000000205,0.25,1.609823385706477e-15
4,2,0.5,0.1,concentrated,-0.775,0.25000000000000205,0.25,1.609823385706477e-15
4,3,0.5,0.1,near_uniform,-0.6625,0.25000000000000205,0.24999999999999933,1.4432899320127035e-15
4,3,0.5,0.1,concentrated,-0.6625,0.25000000000000205,0.25,1.3322676295501878e-15
4,4,0.5,0.1,near_uniform,-0.55,0.25000000000000344,0.24999999999999864,1.5543122344752192e-15
4,4,0.5,0.1,concentrated,-0.55,0.25000000000000344,0.24999999999999864,1.5543122344752192e-15
4,6,0.5,0.1,near_uniform,-0.32499999999999996,0.2500000000000062,0.24999999999999933,1.7763568394002505e-15
4,6,0.5,0.1,concentrated,-0.32499999999999996,0.25000000000000483,0.24999999999999933,1.3322676295501878e-15
4,8,0.5,0.1,near_uniform,-0.09999999999999998,0.2500000000000424,0.24999999999999864,3.858025010572419e-15
4,8,0.5,0.1,concentrated,-0.09999999999999998,0.802519861276437,0.6570375961399112,2.886579864025407e-15
4,12,0.5,0.1,near_uniform,0.3500000000000001,0.9116301964522919,0.8336726891433309,5.773159728050814e-15
4,12,0.5,0.1,concentrated,0.3500000000000001,0.9116301964522919,0.8336726891433309,5.773159728050814e-15
4,20,0.5,0.1,near_uniform,1.25,0.924665428210921,0.8568979200307004,2.55351295663786e-15
4,20,0.5,0.1,concentrated,1.25,0.924665428210921,0.8568979200307004,2.55351295663786e-15
4,1,0.5,0.3,near_uniform,-0.9125,0.25000000000000067,0.24999999999999933,6.106226635438361e-16
4,1,0.5,0.3,concentrated,-0.9125,0.25000000000000067,0.24999999999999933,6.106226635438361e-16
4,2,0.5,0.3,near_uniform,-0.825,0.25000000000000205,0.25,1.7208456881689926e-15
4,2,0.5,0.3,concentrated,-0.825,0.25000000000000205,0.25,1.7208456881689926e-15
4,3,0.5,0.3,near_uniform,-0.7375,0.25000000000000205,0.24999999999999933,1.5543122344752192e-15
4,3,0.5,0.3,concentrated,-0.7375,0.25000000000000205,0.25,1.4988010832439613e-15
4,4,0.5,0.3,near_uniform,-0.65,0.25000000000000205,0.24999999999999933,1.4432899320127035e-15
4,4,0.5,0.3,concentrated,-0.65,0.25000000000000205,0.25,1.3877787807814457e-15
4,6,0.5,0.3,near_uniform,-0.4750000000000001,0.25000000000000344,0.24999999999999864,1.27675647831893e-15
4,6,0.5,0.3,concentrated,-0.4750000000000001,0.25000000000000344,0.24999999999999864,1.27675647831893e-15
