regime,seed,policy,offered,completed,completion_coverage,correct_checks_per_offer,defect_detection_fraction,accuracy_among_completed,attention_hhi,largest_attention_share,minimum_group_coverage,unresolved_offers,repair_backlog,labor,mean_queue_age,coverage_0,coverage_1,coverage_2,coverage_3,coverage_4,coverage_5,count_correct_checks,count_incorrect_checks,count_defects_offered,count_defects_detected,count_false_alarms,count_audit_detected_defects,count_audited,count_repair_completed,count_audit_missed_capacity,count_refused_capacity,count_invitations,count_checks,count_intake_labor,count_check_labor,count_audit_labor,count_repair_labor,count_blind_periods
overload,6,uniform,671,514,0.7660208643815202,0.7049180327868853,0.6120689655172413,0.9202334630350194,0.18445396599494318,0.2509727626459144,0.4690909090909091,157,14,10293,20.318471337579616,0.4690909090909091,0.937984496124031,0.9848484848484849,0.9692307692307692,1.0,1.0,473,41,116,69,26,2,123,83,37,6262,1439,514,2878,5140,615,1660,6
overload,7,prestige,686,518,0.7551020408163265,0.6982507288629738,0.826530612244898,0.9247104247104247,0.3056752284551512,0.4980694980694981,0.5652173913043478,168,34,10417,15.285714285714286,0.9555555555555556,0.6546762589928058,0.6714285714285714,0.5915492957746479,0.6119402985074627,0.5652173913043478,479,39,98,78,31,3,109,78,38,7049,1566,518,3132,5180,545,1560,2
overload,7,bounded,686,518,0.7551020408163265,0.6924198250728864,0.7040816326530612,0.916988416988417,0.20516986926253333,0.3166023166023166,0.6074074074074074,168,23,10439,13.744047619047619,0.6074074074074074,0.8489208633093526,0.9714285714285714,0.7887323943661971,0.9850746268656716,0.6666666666666666,475,43,98,68,34,1,119,80,40,7221,1532,518,3064,5180,595,1600,2
overload,7,uniform,686,523,0.7623906705539358,0.685131195335277,0.5918367346938775,0.8986615678776291,0.18203919876868635,0.25239005736137665,0.4888888888888889,163,17,10413,18.25153374233129,0.4888888888888889,0.8345323741007195,1.0,0.9859154929577465,1.0,0.9855072463768116,470,53,98,57,38,1,113,79,47,6823,1519,523,3038,5230,565,1580,2
overload,8,prestige,670,524,0.7820895522388059,0.7149253731343284,0.7047619047619048,0.9141221374045801,0.29309189441174766,0.48282442748091603,0.5606060606060606,146,28,10441,12.917808219178083,0.9656488549618321,0.6666666666666666,0.7432432432432432,0.5606060606060606,0.6363636363636364,0.7014925373134329,479,45,105,72,34,2,105,80,53,5971,1538,524,3076,5240,525,1600,4
overload,8,bounded,670,511,0.7626865671641792,0.6940298507462687,0.6,0.9099804305283757,0.20236212330681938,0.30919765166340507,0.6030534351145038,159,16,10428,12.968553459119496,0.6030534351145038,0.8666666666666667,0.9594594594594594,0.7424242424242424,0.8333333333333334,0.9104477611940298,465,46,105,62,38,1,116,85,46,6308,1519,511,3038,5110,580,1700,4
overload,8,uniform,670,524,0.7820895522388059,0.7179104477611941,0.6,0.9179389312977099,0.18749635802109435,0.25572519083969464,0.5114503816793893,146,16,10364,18.006849315068493,0.5114503816793893,0.9407407407407408,1.0,0.9090909090909091,0.9848484848484849,0.9552238805970149,481,43,105,57,29,6,124,76,40,5666,1492,524,2984,5240,620,1520,4
strong_feedback,1,prestige,347,346,0.9971181556195965,0.9135446685878963,0.9482758620689655,0.9161849710982659,0.2587624043569781,0.430635838150289,0.9933333333333333,1,22,5936,1.0,0.9933333333333333,1.0,1.0,1.0,1.0,1.0,317,29,58,54,25,1,84,58,16,104,448,346,896,3460,420,1160,1
strong_feedback,1,bounded,347,346,0.9971181556195965,0.9250720461095101,0.896551724137931,0.9277456647398844,0.2587624043569781,0.430635838150289,0.9933333333333333,1,16,5855,1.0,0.9933333333333333,1.0,1.0,1.0,1.0,1.0,321,25,58,52,19,0,83,55,17,95,440,346,880,3460,415,1100,1
strong_feedback,1,uniform,347,346,0.9971181556195965,0.9077809798270894,0.896551724137931,0.9104046242774566,0.2587624043569781,0.430635838150289,0.9933333333333333,1,19,6009,1.0,0.9933333333333333,1.0,1.0,1.0,1.0,1.0,315,31,58,52,25,0,87,58,13,149,477,346,954,3460,435,1160,1
strong_feedback,2,prestige,354,354,1.0,0.8954802259887006,0.8253968253968254,0.8954802259887006,0.22330747869386192,0.3728813559322034,1.0,0,15,6151,0,1.0,1.0,1.0,1.0,1.0,1.0,317,37,63,49,23,3,91,60,17,126,478,354,956,3540,455,1200,5
strong_feedback,2,bounded,354,354,1.0,0.9209039548022598,0.873015873015873,0.9209039548022598,0.22330747869386192,0.3728813559322034,1.0,0,14,6050,0,1.0,1.0,1.0,1.0,1.0,1.0,326,28,63,51,16,4,88,57,20,116,465,354,930,3540,440,1140,5
strong_feedback,2,uniform,354,354,1.0,0.884180790960452,0.8095238095238095,0.884180790960452,0.22330747869386192,0.3728813559322034,1.0,0,16,6186,0,1.0,1.0,1.0,1.0,1.0,1.0,313,41,63,48,26,3,96,61,12,119,473,354,946,3540,480,1220,5
strong_feedback,3,prestige,388,387,0.9974226804123711,0.8891752577319587,0.9076923076923077,0.8914728682170543,0.23203066055058125,0.3850129198966408,0.9933333333333333,1,19,6918,1.0,0.9933333333333333,1.0,1.0,1.0,1.0,1.0,345,42,65,52,29,7,96,69,12,228,594,387,1188,3870,480,1380,6
strong_feedback,3,bounded,388,385,0.9922680412371134,0.8969072164948454,0.8461538461538461,0.9038961038961039,0.23280148423005564,0.38701298701298703,0.9777777777777777,3,19,6662,1.0,0.9933333333333333,0.9871794871794872,1.0,1.0,0.9777777777777777,1.0,348,37,65,55,27,0,90,63,21,175,551,385,1102,3850,450,1260,6
strong_feedback,3,uniform,388,386,0.9948453608247423,0.8762886597938144,0.9076923076923077,0.8808290155440415,0.23124110714381593,0.38341968911917096,0.9866666666666667,2,20,6848,1.0,0.9866666666666667,1.0,1.0,1.0,1.0,1.0,340,46,65,53,34,6,86,73,21,179,549,386,1098,3860,430,1460,6
strong_feedback,4,prestige,349,348,0.997134670487106,0.9169054441260746,0.96,0.9195402298850575,0.24303078345884532,0.40229885057471265,0.9722222222222222,1,19,5942,1.0,1.0,1.0,1.0,1.0,0.9722222222222222,1.0,320,28,50,45,24,3,108,53,21,83,431,348,862,3480,540,1060,1
strong_feedback,4,bounded,349,348,0.997134670487106,0.9054441260744985,0.92,0.9080459770114943,0.24293169507200427,0.40229885057471265,0.9761904761904762,1,17,5931,1.0,1.0,1.0,1.0,0.9761904761904762,1.0,1.0,316,32,50,44,26,2,101,55,17,77,423,348,846,3480,505,1100,1
