scenario,hours,seed,policy,true_avoided_loss,paired_gain_vs_uniform,regret_vs_latent_oracle,lots_at_least_quarter_hour,underserved_hours,irreducible_floor
blindspot_ignored,80,2,uniform,52.60985738328,0.0,17.282508376775738,80,20.0,38.587699599859825
blindspot_ignored,80,2,estimated_waterfill,66.64825663985424,14.038399256574237,3.2441091202015,51,21.7327008135692,38.587699599859825
blindspot_ignored,80,2,reserve_20,64.88358043040103,12.273723047121024,5.008785329654714,57,26.367342204439023,38.587699599859825
blindspot_ignored,80,2,latent_oracle,69.89236576005574,17.282508376775738,0.0,47,4.326596175270889,38.587699599859825
known,20,3,uniform,19.19521787974762,0.0,13.492091059363798,80,5.0,11.241554387699207
known,20,3,estimated_waterfill,32.68730893911142,13.492091059363798,0.0,24,7.9774065255758835,11.241554387699207
known,20,3,reserve_20,31.723686138765668,12.528468259018048,0.9636228003457497,22,9.516296668116041,11.241554387699207
known,20,3,latent_oracle,32.68730893911142,13.492091059363798,0.0,24,7.9774065255758835,11.241554387699207
known,80,3,uniform,54.33990379521682,0.0,11.091865841592814,80,20.0,11.241554387699207
known,80,3,estimated_waterfill,65.43176963680963,11.091865841592814,0.0,60,27.75633335277038,11.241554387699207
known,80,3,reserve_20,65.00215158077923,10.662247785562407,0.4296180560304066,63,30.470882535387247,11.241554387699207
known,80,3,latent_oracle,65.43176963680963,11.091865841592814,0.0,60,27.75633335277038,11.241554387699207
noise_05,20,3,uniform,19.19521787974762,0.0,13.492091059363798,80,5.0,11.241554387699207
noise_05,20,3,estimated_waterfill,28.040750314907143,8.845532435159523,4.646558624204275,25,6.582139791815391,11.241554387699207
noise_05,20,3,reserve_20,27.75267283637481,8.55745495662719,4.934636102736608,20,8.5640325473318,11.241554387699207
noise_05,20,3,latent_oracle,32.68730893911142,13.492091059363798,0.0,24,7.9774065255758835,11.241554387699207
noise_05,80,3,uniform,54.33990379521682,0.0,11.091865841592814,80,20.0,11.241554387699207
noise_05,80,3,estimated_waterfill,60.874854804290095,6.534951009073275,4.5569148325195385,55,26.135298242465947,11.241554387699207
noise_05,80,3,reserve_20,61.08376934316664,6.743865547949817,4.348000293642997,59,29.418183304309963,11.241554387699207
noise_05,80,3,latent_oracle,65.43176963680963,11.091865841592814,0.0,60,27.75633335277038,11.241554387699207
noise_10,20,3,uniform,19.19521787974762,0.0,13.492091059363798,80,5.0,11.241554387699207
noise_10,20,3,estimated_waterfill,22.16743915071404,2.9722212709664184,10.51986978839738,21,6.56038329944982,11.241554387699207
noise_10,20,3,reserve_20,22.547189489939324,3.351971610191704,10.140119449172094,20,8.414668115938332,11.241554387699207
noise_10,20,3,latent_oracle,32.68730893911142,13.492091059363798,0.0,24,7.9774065255758835,11.241554387699207
noise_10,80,3,uniform,54.33990379521682,0.0,11.091865841592814,80,20.0,11.241554387699207
noise_10,80,3,estimated_waterfill,50.189821934919436,-4.150081860297384,15.241947701890197,45,26.686884139615074,11.241554387699207
noise_10,80,3,reserve_20,51.56359542646064,-2.776308368756183,13.868174210348997,50,29.583997693034842,11.241554387699207
noise_10,80,3,latent_oracle,65.43176963680963,11.091865841592814,0.0,60,27.75633335277038,11.241554387699207
noise_20,20,3,uniform,19.19521787974762,0.0,13.492091059363798,80,5.0,11.241554387699207
noise_20,20,3,estimated_waterfill,13.813903864724763,-5.381314015022857,18.873405074386653,17,8.068681642865632,11.241554387699207
